question_id,question,question_type,ground_truth_url,retrieved_urls,generated_answer,reference_answer,mrr,latency_seconds,rouge_l,bert_score
80,What did General Robert Lee say was the main source of information to the enemy?,multi_hop,https://en.wikipedia.org/wiki/Abolitionism,"['https://en.wikipedia.org/wiki/Martin_Luther_King_Jr.', 'https://en.wikipedia.org/wiki/Civil_rights_movement', 'https://en.wikipedia.org/wiki/September_11_attacks', 'https://en.wikipedia.org/wiki/Cold_War', 'https://en.wikipedia.org/wiki/Martin_Luther_King_Jr.', 'https://en.wikipedia.org/wiki/Martin_Luther_King_Jr.', 'https://en.wikipedia.org/wiki/Battle_of_Hucisko', 'https://en.wikipedia.org/wiki/V._S._Naipaul', 'https://en.wikipedia.org/wiki/Mark_Twain', 'https://en.wikipedia.org/wiki/John_Charles_Francis_Holland']",Minaret,through our negroes,0.0,0.22,0.0,0.5977
81,What is the difference between a stylus and a keyboard?,comparative,https://en.wikipedia.org/wiki/Smartphone,"['https://en.wikipedia.org/wiki/Smartphone', 'https://en.wikipedia.org/wiki/Smartphone', 'https://en.wikipedia.org/wiki/Fr%C3%A9d%C3%A9ric_Chopin', 'https://en.wikipedia.org/wiki/Computer_program', 'https://en.wikipedia.org/wiki/Johann_Sebastian_Bach', 'https://en.wikipedia.org/wiki/Fr%C3%A9d%C3%A9ric_Chopin', 'https://en.wikipedia.org/wiki/Steve_Jobs', 'https://en.wikipedia.org/wiki/Architectural_drawing', 'https://en.wikipedia.org/wiki/Smartphone', 'https://en.wikipedia.org/wiki/Smartphone']",Some devices are equipped with additional input methods,resembling drag selection using a computer mouse,1.0,0.32,0.0,0.7391
82,What did Tutu dislike about Mbeki's leadership?,comparative,https://en.wikipedia.org/wiki/Desmond_Tutu,"['https://en.wikipedia.org/wiki/Desmond_Tutu', 'https://en.wikipedia.org/wiki/Desmond_Tutu', 'https://en.wikipedia.org/wiki/Desmond_Tutu', 'https://en.wikipedia.org/wiki/Desmond_Tutu', 'https://en.wikipedia.org/wiki/Desmond_Tutu', 'https://en.wikipedia.org/wiki/Desmond_Tutu', 'https://en.wikipedia.org/wiki/Desmond_Tutu', 'https://en.wikipedia.org/wiki/Desmond_Tutu', 'https://en.wikipedia.org/wiki/Desmond_Tutu', 'https://en.wikipedia.org/wiki/Desmond_Tutu']",Marxist-oriented communism,active neglect of the HIV/AIDS pandemic,1.0,0.218,0.0,0.6448
83,The Sokoto Caliphate was one of the largest pre-colonial African states.?,inferential,https://en.wikipedia.org/wiki/Nigeria,"['https://en.wikipedia.org/wiki/Nigeria', 'https://en.wikipedia.org/wiki/Nigeria', 'https://en.wikipedia.org/wiki/Nigeria', 'https://en.wikipedia.org/wiki/Nigeria', 'https://en.wikipedia.org/wiki/Nigeria', 'https://en.wikipedia.org/wiki/Nigeria', 'https://en.wikipedia.org/wiki/Nigeria', 'https://en.wikipedia.org/wiki/Nigeria', 'https://en.wikipedia.org/wiki/Ottoman_Empire', 'https://en.wikipedia.org/wiki/Cairo']",unanswerable,(ii).,1.0,0.222,0.0,0.5824
84,What is the largest organelle in the animal cell?,multi_hop,https://en.wikipedia.org/wiki/Cell_(biology),"['https://en.wikipedia.org/wiki/Cell_(biology)', 'https://en.wikipedia.org/wiki/Biology', 'https://en.wikipedia.org/wiki/Cell_(biology)', 'https://en.wikipedia.org/wiki/Cell_(biology)', 'https://en.wikipedia.org/wiki/Cell_(biology)', 'https://en.wikipedia.org/wiki/Cell_(biology)', 'https://en.wikipedia.org/wiki/Cell_(biology)', 'https://en.wikipedia.org/wiki/Cell_(biology)', 'https://en.wikipedia.org/wiki/Cell_(biology)', 'https://en.wikipedia.org/wiki/Cell_(biology)']",cytoplasm,cell nucleus,1.0,0.111,0.0,0.7093
85,How many volumes on PDF files did John Locke publish?,factual,https://en.wikipedia.org/wiki/John_Locke,"['https://en.wikipedia.org/wiki/John_Locke', 'https://en.wikipedia.org/wiki/John_Locke', 'https://en.wikipedia.org/wiki/John_Locke', 'https://en.wikipedia.org/wiki/John_Locke', 'https://en.wikipedia.org/wiki/John_Locke', 'https://en.wikipedia.org/wiki/John_Locke', 'https://en.wikipedia.org/wiki/John_Locke', 'https://en.wikipedia.org/wiki/John_Locke', 'https://en.wikipedia.org/wiki/John_Locke', 'https://en.wikipedia.org/wiki/John_Locke']","3,000",10,1.0,0.181,0.0,0.5135
86,In what year was Kahneman elected a member of the National Academy of Sciences?,comparative,https://en.wikipedia.org/wiki/Daniel_Kahneman,"['https://en.wikipedia.org/wiki/Daniel_Kahneman', 'https://en.wikipedia.org/wiki/Daniel_Kahneman', 'https://en.wikipedia.org/wiki/Daniel_Kahneman', 'https://en.wikipedia.org/wiki/Daniel_Kahneman', 'https://en.wikipedia.org/wiki/Richard_Feynman', 'https://en.wikipedia.org/wiki/Daniel_Kahneman', 'https://en.wikipedia.org/wiki/Daniel_Kahneman', 'https://en.wikipedia.org/wiki/Daniel_Kahneman', 'https://en.wikipedia.org/wiki/Daniel_Kahneman', 'https://en.wikipedia.org/wiki/Frances_Arnold']",,2001,1.0,0.12,0.0,0.0
87,Why is angst before nothing?,inferential,https://en.wikipedia.org/wiki/Existentialism,"['https://en.wikipedia.org/wiki/Existentialism', 'https://en.wikipedia.org/wiki/Existentialism', 'https://en.wikipedia.org/wiki/Existentialism', 'https://en.wikipedia.org/wiki/Biology_of_romantic_love', 'https://en.wikipedia.org/wiki/Stoicism', 'https://en.wikipedia.org/wiki/Existentialism', 'https://en.wikipedia.org/wiki/Existentialism', 'https://en.wikipedia.org/wiki/Existentialism', 'https://en.wikipedia.org/wiki/The_Buddha', 'https://en.wikipedia.org/wiki/Existentialism']",inherent insecurity about the consequences of one's actions,dreads the possibility of throwing oneself off,1.0,0.34,0.25,0.7638
88,How many symphonies did Mozart compose?,multi_hop,https://en.wikipedia.org/wiki/Wolfgang_Amadeus_Mozart,"['https://en.wikipedia.org/wiki/Wolfgang_Amadeus_Mozart', 'https://en.wikipedia.org/wiki/Wolfgang_Amadeus_Mozart', 'https://en.wikipedia.org/wiki/Wolfgang_Amadeus_Mozart', 'https://en.wikipedia.org/wiki/Wolfgang_Amadeus_Mozart', 'https://en.wikipedia.org/wiki/Wolfgang_Amadeus_Mozart', 'https://en.wikipedia.org/wiki/Ludwig_van_Beethoven', 'https://en.wikipedia.org/wiki/Wolfgang_Amadeus_Mozart', 'https://en.wikipedia.org/wiki/Wolfgang_Amadeus_Mozart', 'https://en.wikipedia.org/wiki/Wolfgang_Amadeus_Mozart', 'https://en.wikipedia.org/wiki/Wolfgang_Amadeus_Mozart']",4,three,1.0,0.12,0.0,0.5058
89,In what year was the first experimental Block-I GPS satellite launched?,factual,https://en.wikipedia.org/wiki/Global_Positioning_System,"['https://en.wikipedia.org/wiki/Global_Positioning_System', 'https://en.wikipedia.org/wiki/Global_Positioning_System', 'https://en.wikipedia.org/wiki/Global_Positioning_System', 'https://en.wikipedia.org/wiki/Global_Positioning_System', 'https://en.wikipedia.org/wiki/Television', 'https://en.wikipedia.org/wiki/Global_Positioning_System', 'https://en.wikipedia.org/wiki/Global_Positioning_System', 'https://en.wikipedia.org/wiki/Global_Positioning_System', 'https://en.wikipedia.org/wiki/Global_Positioning_System', 'https://en.wikipedia.org/wiki/Global_Positioning_System']",1978,1978,1.0,0.139,0.0064,0.5713
90,What did Matthew Cobb and Nathaniel C. Comfort write about Franklin?,comparative,https://en.wikipedia.org/wiki/James_Watson,"['https://en.wikipedia.org/wiki/James_Watson', 'https://en.wikipedia.org/wiki/Rosalind_Franklin', 'https://en.wikipedia.org/wiki/Rosalind_Franklin', 'https://en.wikipedia.org/wiki/James_Watson', 'https://en.wikipedia.org/wiki/Rosalind_Franklin', 'https://en.wikipedia.org/wiki/United_States', 'https://en.wikipedia.org/wiki/Rosalind_Franklin', 'https://en.wikipedia.org/wiki/Barbara_McClintock', 'https://en.wikipedia.org/wiki/Rosalind_Franklin', 'https://en.wikipedia.org/wiki/Rosalind_Franklin']",Franklin was no victim in how the DNA double helix was solved,"she was ""an equal contributor to the solution of the structure""",1.0,0.395,0.1739,0.7803
91,When did Kahlo begin her car?,inferential,https://en.wikipedia.org/wiki/Frida_Kahlo,"['https://en.wikipedia.org/wiki/Frida_Kahlo', 'https://en.wikipedia.org/wiki/Frida_Kahlo', 'https://en.wikipedia.org/wiki/Frida_Kahlo', 'https://en.wikipedia.org/wiki/Frida_Kahlo', 'https://en.wikipedia.org/wiki/Frida_Kahlo', 'https://en.wikipedia.org/wiki/Frida_Kahlo', 'https://en.wikipedia.org/wiki/Frida_Kahlo', 'https://en.wikipedia.org/wiki/Frida_Kahlo', 'https://en.wikipedia.org/wiki/Frida_Kahlo', 'https://en.wikipedia.org/wiki/Frida_Kahlo']",3).,unanswerable,1.0,0.209,0.0,0.5866
92,How many years after the Estates General of 1789 did the Coup of 18 Brumaire end?,multi_hop,https://en.wikipedia.org/wiki/French_Revolution,"['https://en.wikipedia.org/wiki/French_Revolution', 'https://en.wikipedia.org/wiki/France', 'https://en.wikipedia.org/wiki/French_Revolution', 'https://en.wikipedia.org/wiki/French_Revolution', 'https://en.wikipedia.org/wiki/Paris', 'https://en.wikipedia.org/wiki/French_Revolution', 'https://en.wikipedia.org/wiki/French_Revolution', 'https://en.wikipedia.org/wiki/French_Revolution', 'https://en.wikipedia.org/wiki/French_Revolution', 'https://en.wikipedia.org/wiki/France']",1,1,1.0,0.142,0.0,0.5048
93,What does the Fourier transform of the dependence in position mean?,factual,https://en.wikipedia.org/wiki/Quantum_mechanics,"['https://en.wikipedia.org/wiki/Quantum_mechanics', 'https://en.wikipedia.org/wiki/Quantum_mechanics', 'https://en.wikipedia.org/wiki/Werner_Heisenberg', 'https://en.wikipedia.org/wiki/Werner_Heisenberg', 'https://en.wikipedia.org/wiki/Atom', 'https://en.wikipedia.org/wiki/Calculus', 'https://en.wikipedia.org/wiki/The_Buddha', 'https://en.wikipedia.org/wiki/Quantum_mechanics', 'https://en.wikipedia.org/wiki/Quantum_mechanics', 'https://en.wikipedia.org/wiki/Entropy']",that the momentum operator is equivalent,that the momentum operator is equivalent,1.0,0.415,1.0,1.0
94,How many days after the fall of the Berlin Wall did the Ossis swarmed?,comparative,https://en.wikipedia.org/wiki/Fall_of_the_Berlin_Wall,"['https://en.wikipedia.org/wiki/Fall_of_the_Berlin_Wall', 'https://en.wikipedia.org/wiki/Fall_of_the_Berlin_Wall', 'https://en.wikipedia.org/wiki/Fall_of_the_Berlin_Wall', 'https://en.wikipedia.org/wiki/Fall_of_the_Berlin_Wall', 'https://en.wikipedia.org/wiki/Fall_of_the_Berlin_Wall', 'https://en.wikipedia.org/wiki/Fall_of_the_Berlin_Wall', 'https://en.wikipedia.org/wiki/Fall_of_the_Berlin_Wall', 'https://en.wikipedia.org/wiki/Cold_War', 'https://en.wikipedia.org/wiki/Fall_of_the_Berlin_Wall', 'https://en.wikipedia.org/wiki/Fall_of_the_Berlin_Wall']",2,2,1.0,0.167,0.0,0.4734
95,Why did Sen receive the Nobel Prize in Economic Sciences?,inferential,https://en.wikipedia.org/wiki/Amartya_Sen,"['https://en.wikipedia.org/wiki/Amartya_Sen', 'https://en.wikipedia.org/wiki/Amartya_Sen', 'https://en.wikipedia.org/wiki/Amartya_Sen', 'https://en.wikipedia.org/wiki/Amartya_Sen', 'https://en.wikipedia.org/wiki/Amartya_Sen', 'https://en.wikipedia.org/wiki/Milton_Friedman', 'https://en.wikipedia.org/wiki/Amartya_Sen', 'https://en.wikipedia.org/wiki/Amartya_Sen', 'https://en.wikipedia.org/wiki/Daniel_Kahneman', 'https://en.wikipedia.org/wiki/Elinor_Ostrom']",his contributions to welfare economics,his contributions to welfare economics,1.0,0.214,1.0,1.0
96,What group led the music in a style that Guralnick suggests sowed the seeds of Presley's future stage act?,multi_hop,https://en.wikipedia.org/wiki/Elvis_Presley,"['https://en.wikipedia.org/wiki/Elvis_Presley', 'https://en.wikipedia.org/wiki/Elvis_Presley', 'https://en.wikipedia.org/wiki/Elvis_Presley', 'https://en.wikipedia.org/wiki/Elvis_Presley', 'https://en.wikipedia.org/wiki/Elvis_Presley', 'https://en.wikipedia.org/wiki/Elvis_Presley', 'https://en.wikipedia.org/wiki/Elvis_Presley', 'https://en.wikipedia.org/wiki/Elvis_Presley', 'https://en.wikipedia.org/wiki/Elvis_Presley', 'https://en.wikipedia.org/wiki/Elvis_Presley']",the Statesmen Quartet,the Statesmen Quartet,1.0,0.182,1.0,1.0
97,Who did the King of France carry away like a trophy?,factual,https://en.wikipedia.org/wiki/Leonardo_da_Vinci,"['https://en.wikipedia.org/wiki/Paris', 'https://en.wikipedia.org/wiki/France', 'https://en.wikipedia.org/wiki/Renaissance', 'https://en.wikipedia.org/wiki/Abolitionism', 'https://en.wikipedia.org/wiki/France', 'https://en.wikipedia.org/wiki/Leonardo_da_Vinci', 'https://en.wikipedia.org/wiki/Leonardo_da_Vinci', 'https://en.wikipedia.org/wiki/France', 'https://en.wikipedia.org/wiki/France', 'https://en.wikipedia.org/wiki/Paris']",Odo of France,Leonardo,0.2,0.185,0.0,0.648
98,What is the chemical composition of the pentose residues of the bases?,comparative,https://en.wikipedia.org/wiki/Gene,"['https://en.wikipedia.org/wiki/Actinide_chemistry', 'https://en.wikipedia.org/wiki/Gene', 'https://en.wikipedia.org/wiki/DNA', 'https://en.wikipedia.org/wiki/DNA', 'https://en.wikipedia.org/wiki/Chemistry', 'https://en.wikipedia.org/wiki/Linus_Pauling', 'https://en.wikipedia.org/wiki/DNA', 'https://en.wikipedia.org/wiki/Penicillin', 'https://en.wikipedia.org/wiki/Chemistry', 'https://en.wikipedia.org/wiki/Chemistry']",ca. 0.2 mol,(4).,0.5,0.242,0.0,0.5479
99,"Confucianism emphasized personal and governmental morality, harmonious social relationships, righteousness, kindness, sincerity, and a ruler's responsibilities to lead by virtue.?",inferential,https://en.wikipedia.org/wiki/Confucius,"['https://en.wikipedia.org/wiki/Confucius', 'https://en.wikipedia.org/wiki/Confucius', 'https://en.wikipedia.org/wiki/Confucius', 'https://en.wikipedia.org/wiki/Confucius', 'https://en.wikipedia.org/wiki/Confucius', 'https://en.wikipedia.org/wiki/Confucius', 'https://en.wikipedia.org/wiki/Philosophy', 'https://en.wikipedia.org/wiki/Confucius', 'https://en.wikipedia.org/wiki/Confucius', 'https://en.wikipedia.org/wiki/Confucius']",a type of virtue ethics,His philosophical teachings,1.0,0.294,0.0,0.7409
100,What is the name of the ethnic minority language in southwestern China?,multi_hop,https://en.wikipedia.org/wiki/China,"['https://en.wikipedia.org/wiki/China', 'https://en.wikipedia.org/wiki/China', 'https://en.wikipedia.org/wiki/Canada', 'https://en.wikipedia.org/wiki/Nigeria', 'https://en.wikipedia.org/wiki/Nigeria', 'https://en.wikipedia.org/wiki/Shanghai', 'https://en.wikipedia.org/wiki/Mexico', 'https://en.wikipedia.org/wiki/Singapore', 'https://en.wikipedia.org/wiki/China', 'https://en.wikipedia.org/wiki/Indonesia']",Yiddish,Zhuang,1.0,0.148,0.0,0.6161
